category,filename,hashtag,source,description,people,faces,females,alcohol_visible,words_on_image,proportion_females,labels
anti_prof,ap84.png,#WhatAreYouDoing?,,A man in a sports jersey with bloody and bruised knuckles is aggressively pointing and shouting at a security guard. His arm is around an uncomfortable looking earlier version of himself. A slogan reads: “Binge drinking. What are you doing to yourself?”,8,5,2.0,0,8,0.25,What Are You Doing
anti_prof,ap87.png,#WhatAreYouDoing?,,"A woman is lying on the pavement either sleeping or unconscious in a short dress with her underwear visible. A second woman, similarly dressed, is sitting next to her on the ground. A police officer with gloves is kneeling besides them. A slogan reads: “Binge Drinking. What are you doing to yourself?”",4,0,4.0,0,8,1.0,What Are You Doing
anti_prof,ap89.png,#RecklessDrunk,,"A woman in a short party dress is walking with her shows in her hands, a vacant expression, arms hanging, and looking disheveled. She has an open wound on her forehead and has a zombie-like appearance. A slogan reads: “Night of the reckless drunk. When you drink too much you lose control and put yourself at risk.”",1,1,1.0,0,18,1.0,Reckless Drunk
anti_prof,ap92.png,#DrinkingChoices,,"Two women and two men are sitting at a table, each holding alcoholic drinks and laughing. Three of them are fully visible with a tag close to their head that informs the viewer about what happens to them later that night. The man’s tag says: “Aggro Drinker”. The women’s tags say “Vomiting by 10:30” and “Refused entry”, respectively. A general slogan reads: “What’s your relationship with alcohol? Find out more at: mydrinkingchoices.qld.gov.au""",4,3,2.0,1,12,0.5,Drinking Choices
anti_soc,as1.png,#StopDrinkingAlcohol,https://www.instagram.com/p/B5sBG7jD8zV/,"A before and after image of a man’s face is presented. In the before version, the man is heavier and generally looks more unhealthy and disheveled than in the after image. Text on the image reads: “This is how you look after 28 days without alcohol.”",2,2,0.0,0,9,0.0,Stop Drinking Alcohol
anti_soc,as2.png,#NoAlcoholNeeded,https://www.instagram.com/p/B5ctbqpq492/,A woman is shown surrounded by others partying and dancing. She has a big smile on her face and is clearly enjoying the party. No alcohol is visible in the image.,5,1,1.0,0,0,0.2,No Alcohol Needed
anti_soc,as3.png,#DrunkShame,https://www.instagram.com/p/Bmqz8HugXnA/,"Two man are sitting on a couch. One of them is sleeping or unconscious. The other is sitting next to him, posing for the picture and smiling with two thumbs up. ",3,1,0.0,1,0,0.0,Drunk Shame
anti_soc,as4.png,#Hangover,https://www.instagram.com/p/BPKmylzgFWC/,"Two images of a woman are shown. She is lying in bed and looking dazed, sleepy and sick in one image and sleeping in the second. ",2,2,2.0,0,0,1.0,Hangover
anti_soc,as5.png,#DrunkShame,https://www.instagram.com/p/BFUNiyjC5Hx/,"A man is shown sleeping at the top of a staircase in the middle of a hallways in front of the entrance door to an apartment. His upper body is naked. He is wearing only shoes, socks, and a mini skirt that seems to be part of a bee costume. ",1,1,0.0,0,0,0.0,Drunk Shame
anti_soc,as6.png,#TooDrunk,https://www.instagram.com/p/0zOcm3g7MB/,A man is shown sleeping on on public transport.,1,1,0.0,0,0,0.0,Too Drunk
anti_soc,as8.png,#Hangover,https://www.instagram.com/p/B6xjZrvjrBV/,"A woman is shown looking disheveled and generally groggy, wearing a bathrobe.",1,1,1.0,0,0,1.0,Hangover
anti_soc,as9.png,#DrunkPhoto,https://www.instagram.com/p/4f-MqUG5xZ/,"A woman and a man are lying on the ground sleeping with a blanket over them. A second woman who looks heavily intoxicated is posing for the picture, smiling and giving a thumbs up. In the background a group of people is sitting around snacks and bottles of alcohol.",5,3,2.0,0,0,0.4,Drunk Photo
anti_soc,as10.png,#TooDrunkToFunction,https://www.instagram.com/p/6WH-xULkRi/,A blurry image of a man lying on the ground looking highly intoxicated. His mouth is full of snacks with the snack package still win his hand.,1,1,0.0,0,8,0.0,Too Drunk To Function
anti_soc,as11.png,#DrunkShaming,https://www.instagram.com/p/S96uDmq0Is/,A man is posing for the image with a note attached to his chest that reads: “I spilled my bear all over the bar”. He is looking away from the photographer with an annoyed/embarrassed look on his face.,1,1,0.0,0,0,0.0,Drunk Shaming
anti_soc,as14.png,#TooMuchAlcohol,Personal footage,"Two man are depicted in a bathroom. One is leaning forward, facing away from the image and bracing himself against a wall. He may be about to throw up into the toilet. The second man is holding a bottle of alcohol up for the picture and is smiling into the camera giving a thumbs up.",2,1,0.0,1,0,0.0,Too Much Alcohol
anti_soc,as15.png,#TooMuchToDrink,Personal footage,"A blurry picture of four people shows one person lying on a bathroom floor, possibly unconscious or highly intoxicated. A second person is kneeling over the first and a third and fourth are standing next to the two. ",4,0,,1,0,NA,Too Much To Drink
anti_soc,as16.png,#Drunk,Personal footage,"A woman is kneeling in front of a toilet, holding up an empty Prosecco glass, possibly throwing up into a toilet. A second woman is holding her hair.",2,0,1.0,1,6,0.5,Drunk
anti_soc,as18.png,#Hangover,Personal footage,A package of pain pills (Paracetamol) is held up for the image with two empty bottles of wine visible in the background.,0,0,,1,0,NA,Hangover
anti_soc,as19.png,#DrunkShame,https://www.instagram.com/p/TRMWHfq0Ah/,"A man is posing for the image with a note attached to his chest that reads: “I spilled my bear all over my friend’s purse”. He is looking at the photographer, flushed and smiling with a somewhat ebarrassed look on his face.",1,1,0.0,0,8,0.0,Drunk Shame
anti_soc,as21.png,#DrunkBuzzkill,https://www.instagram.com/p/BXow-G4hRL6/,A man is hanging over a toilet bowl with his hand in front of his mouth. ,1,1,0.0,0,0,0.0,Drunk Buzzkill
anti_soc,as22.png,#TooDrunk,https://www.instagram.com/p/BEVv6wMrSn5/,A woman is kneeling on the pavement with her head on the ground. It is dark outside.,1,0,1.0,0,0,1.0,Too Drunk
anti_soc,as23.png,#DrunkShaming,https://www.instagram.com/p/if7YxGOcBc/,"A woman is being held up by a man, hanging in his arms and evidently sleeping or unconscious. Her head is hanging back with her mouth open.",2,2,1.0,0,0,0.5,Drunk Shaming
anti_soc,as25.png,#PassedOutDrunk,https://www.instagram.com/p/B01EvLdj90W/,A man is lying on a bench that might be outdoor furniture of a bar or restaurant. His head is hanging off the bench and ,3,0,1.0,0,0,0.333333333,Passed Out Drunk
anti_soc,as27.png,#TooDrunkToParty,https://www.instagram.com/p/B7d3-a3nXOh/,A group of four women and two men are standing around a sleeping man who is lying on the ground. They are smiling and laughing in the camera.,7,7,4.0,0,0,0.571428571,Too Drunk To Party
anti_soc,as28.png,#PassedOutDrunk,https://www.instagram.com/p/B7IiXyeoJ7t/,"Two men are lying on a couch in awkward positions looking disheveled and generally intoxicated. Both are holding beer bottles. One is sleeping, the other looks like he will fall asleep any second.",2,2,0.0,1,0,0.0,Passed Out Drunk
anti_soc,as29.png,#DrunkRegrets,https://www.instagram.com/p/B5d975IlxxR/,"A man is lying on a couch sleeping with his head resting on the shoulder of a woman. The man’s button down shirt has been opened and his face and upper body are completely covered in drawings. The woman is smiling into the camera, posing for the picture and holding several pens. Text around the image reads: “Human colouring book. Available for all to enjoy. @theteamstruggle”",2,2,1.0,0,8,0.5,Drunk Regrets
anti_soc,as30.png,#TooMuchAlcohol,https://www.instagram.com/p/B5yMtmZqSfP/,A man is lying unconscious or sleeping on a bathroom floor clutching the toilet seat with one hand. In front of him stands a water bottle.),1,1,0.0,0,0,0.0,Too Much Alcohol
anti_soc,as34.png,#DrunkRegrets,https://www.facebook.com/dryjuly/posts/know-someone-whod-be-making-this-face-this-morning-you-wont-be-making-this-face-/10156813109344262/,"Michael from the US American show “the Office” is shown. He is grimacing, bearing his front teeth and furrowing his brows like he is very embarrassed about something. Text on the image reads: “my face when someone tells me what I did while I was drunk”",1,1,0.0,0,13,0.0,Drunk Regrets
anti_soc,as37.png,#DrunkIdiot,https://astrologymemes.com/i/5737360,"A man is depicted sitting in a room with several book shelves. He is looking calm but distraught away from from the camera and holding his face in his hands. Text around the image reads: “Something, um, not that chill happened last night @MyTherapistSays” and “When you have to confront your friend about last nights drunk behavior”",1,1,0.0,0,20,0.0,Drunk Idiot
anti_soc,as38.png,#DrunkFights,https://www.instagram.com/p/BBGIe5nirs8/,"A collage of four small images shows a woman with sunglasses and a bloody scrape on her nose, a closeup of each of her elbows with bloody scrapes and a close up of her big toe which is also bloody. ",1,1,1.0,0,0,1.0,Drunk Fights
anti_soc,as43.png,#DrunkFalls,https://www.instagram.com/p/mhSMP3PgGT/,"A man is taking a selfie in a mirror, showing off his bloody and bruised elbow. He is making a sad face.",1,1,0.0,0,0,0.0,Drunk Falls
anti_soc,as44.png,#DrunkAccident,https://www.instagram.com/p/SXf64crcki/,A woman is lying on the ground on her belly looking generally disheveled and holding a drink which has spilled on the ground beneath her. She is lying a meter away from a bike that has fallen on the ground and she has lost one of her shoes.,1,1,1.0,0,0,1.0,Drunk Accident
anti_soc,as45.png,#DrunkAccident,https://www.instagram.com/p/B6zE9zEHAbl/,"A closeup of a women’s left eye shows a bruised, very blue eyelid.",1,1,1.0,0,0,1.0,Drunk Accident
anti_soc,as46.png,#DrunkAccident,https://www.instagram.com/p/BWThKMRATfC/,"A collage of three images shows a woman with a neck brace and an IV in a hospital bad making a funny sad face, a closeup of the neck brace and another closeup of her neck without the brace with a large bruise",1,1,1.0,0,0,1.0,Drunk Accident
anti_soc,as47.png,#DrunkIdiot,https://www.instagram.com/p/BMCyvmUhFvf/,"A collage of three images shows the bloody, bruised and scraped face of a woman from different angles. She looks disheveled and sad.",1,3,1.0,0,0,1.0,Drunk Idiot
